team,r_3pt_radius,court_width,baseline_width,hoop_to_baseline,corner3_distance,corner3_availability,arc_length_inbounds,area_inside_arc,area_outside_arc,twopa_per_game,threepa_per_game,corner3_pa,above_break3_pa,rim_attempt_share,midrange_share,free_throw_rate,eppg,epps,efg_expected,threepar,team_rim_rate,team_corner3_rate,off_reb_rate,pace,opp_3par_allowed,opp_rim_fg_allowed,switch_rate,turnover_rate,def_reb_rate
Cavaliers2016,23.75,51.0,51.0,4.0,22,1.0,74.61282552275759,886.0273030827464,1306.9726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,51.25,51.25,4.0,22,1.0,74.61282552275759,886.0273030827464,1317.7226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,51.5,51.5,4.0,22,1.0,74.61282552275759,886.0273030827464,1328.4726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,51.75,51.75,4.0,22,1.0,74.61282552275759,886.0273030827464,1339.2226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,52.0,52.0,4.0,22,1.0,74.61282552275759,886.0273030827464,1349.9726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,52.25,52.25,4.0,22,1.0,74.61282552275759,886.0273030827464,1360.7226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,52.5,52.5,4.0,22,1.0,74.61282552275759,886.0273030827464,1371.4726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,52.75,52.75,4.0,22,1.0,74.61282552275759,886.0273030827464,1382.2226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,53.0,53.0,4.0,22,1.0,74.61282552275759,886.0273030827464,1392.9726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,53.25,53.25,4.0,22,1.0,74.61282552275759,886.0273030827464,1403.7226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,53.5,53.5,4.0,22,1.0,74.61282552275759,886.0273030827464,1414.4726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,53.75,53.75,4.0,22,1.0,74.61282552275759,886.0273030827464,1425.2226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,54.0,54.0,4.0,22,1.0,74.61282552275759,886.0273030827464,1435.9726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,54.25,54.25,4.0,22,1.0,74.61282552275759,886.0273030827464,1446.7226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,54.5,54.5,4.0,22,1.0,74.61282552275759,886.0273030827464,1457.4726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,54.75,54.75,4.0,22,1.0,74.61282552275759,886.0273030827464,1468.2226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,55.0,55.0,4.0,22,1.0,74.61282552275759,886.0273030827464,1478.9726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,24.0,50.0,50.0,4.0,22,1.0,75.39822368615503,904.7786842338604,1245.2213157661395,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,24.0,50.25,50.25,4.0,22,1.0,75.39822368615503,904.7786842338604,1255.9713157661395,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,24.0,50.5,50.5,4.0,22,1.0,75.39822368615503,904.7786842338604,1266.7213157661395,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,24.0,50.75,50.75,4.0,22,1.0,75.39822368615503,904.7786842338604,1277.4713157661395,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,24.0,51.0,51.0,4.0,22,1.0,75.39822368615503,904.7786842338604,1288.2213157661395,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,24.0,51.25,51.25,4.0,22,1.0,75.39822368615503,904.7786842338604,1298.9713157661395,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,24.0,51.5,51.5,4.0,22,1.0,75.39822368615503,904.7786842338604,1309.7213157661395,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,24.0,51.75,51.75,4.0,22,1.0,75.39822368615503,904.7786842338604,1320.4713157661395,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,24.0,52.0,52.0,4.0,22,1.0,75.39822368615503,904.7786842338604,1331.2213157661395,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
